epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3964,0.19331,1.24344,0.9798,0.77881,0.9012,0.8902,0.77986,0.35128,0.95189,0.54084,0.000474428,0.000474428,0.000474428
2,165.854,0.15547,0.57828,0.9374,0.83895,0.87806,0.91143,0.88805,0.31586,0.72104,0.49188,0.000935074,0.000935074,0.000935074
3,237.275,0.15817,0.49534,0.93029,0.88613,0.88552,0.93506,0.83998,0.45444,0.68679,0.5966,0.00138,0.00138,0.00138
4,315.91,0.14457,0.4319,0.92727,0.90607,0.89873,0.93457,0.82418,0.45281,0.58877,0.49259,0.00135826,0.00135826,0.00135826
5,394.196,0.13264,0.37822,0.92143,0.92829,0.93672,0.97663,0.88844,0.427,0.63702,0.47264,0.00133469,0.00133469,0.00133469
6,473.556,0.12011,0.35329,0.91342,0.93017,0.94762,0.97152,0.90283,0.28794,0.51221,0.40569,0.00131111,0.00131111,0.00131111
7,548.169,0.11004,0.3184,0.90692,0.90124,0.88394,0.96855,0.92988,0.28392,0.69611,0.37116,0.00128753,0.00128753,0.00128753
8,623.846,0.10086,0.3167,0.90731,0.87967,0.95757,0.94557,0.87534,0.23385,0.42133,0.33344,0.00126395,0.00126395,0.00126395
9,698.39,0.09093,0.28551,0.90244,0.94548,0.95151,0.98322,0.97606,0.23858,0.34749,0.32264,0.00124037,0.00124037,0.00124037
10,772.485,0.08964,0.27301,0.90364,0.80226,0.93943,0.96176,0.94539,0.21976,0.68881,0.2872,0.00121679,0.00121679,0.00121679
11,847.69,0.08206,0.26525,0.89603,0.89352,0.90009,0.94666,0.76591,0.39203,0.59961,0.50384,0.00119322,0.00119322,0.00119322
12,922.789,0.08366,0.25659,0.90199,0.96168,0.97787,0.9892,0.98792,0.23354,0.225,0.30845,0.00116964,0.00116964,0.00116964
13,999.776,0.07853,0.24403,0.89965,0.94853,0.95081,0.97575,0.93963,0.23876,0.37484,0.2687,0.00114606,0.00114606,0.00114606
14,1076.39,0.07378,0.24734,0.89971,0.95989,0.94629,0.9806,0.96943,0.18659,0.312,0.2232,0.00112248,0.00112248,0.00112248
15,1151.57,0.06868,0.21927,0.89274,0.90276,0.92837,0.98678,0.98324,0.18068,0.31625,0.23877,0.0010989,0.0010989,0.0010989
16,1228.6,0.07231,0.2337,0.89818,0.96232,0.98071,0.9901,0.98147,0.1679,0.23226,0.23793,0.00107532,0.00107532,0.00107532
17,1309.49,0.0644,0.21554,0.89326,0.93682,0.93761,0.96376,0.95172,0.16872,0.32311,0.22059,0.00105174,0.00105174,0.00105174
18,1391.57,0.06382,0.20962,0.89455,0.92773,0.96252,0.98708,0.97426,0.22348,0.30512,0.28211,0.00102817,0.00102817,0.00102817
19,1471.14,0.06521,0.2131,0.8945,0.95974,0.96252,0.98128,0.97818,0.24217,0.34284,0.31959,0.00100459,0.00100459,0.00100459
20,1550.96,0.06646,0.20982,0.89508,0.91889,0.95891,0.97878,0.9774,0.16168,0.32034,0.22124,0.000981008,0.000981008,0.000981008
21,1628.04,0.06203,0.21211,0.89146,0.97082,0.95519,0.98124,0.97834,0.19983,0.29834,0.22618,0.00095743,0.00095743,0.00095743
22,1702.42,0.0589,0.19398,0.89447,0.96517,0.97209,0.9891,0.98893,0.13849,0.24523,0.17242,0.000933851,0.000933851,0.000933851
23,1776.15,0.05741,0.19999,0.89538,0.9866,0.97531,0.99335,0.92547,0.19963,0.30547,0.24516,0.000910273,0.000910273,0.000910273
24,1850.96,0.05677,0.19612,0.89336,0.9727,0.96899,0.99271,0.98307,0.19603,0.28856,0.22666,0.000886694,0.000886694,0.000886694
25,1926.71,0.05269,0.18028,0.89033,0.9795,0.96398,0.98991,0.98969,0.16278,0.2953,0.224,0.000863116,0.000863116,0.000863116
26,2000.98,0.05246,0.18653,0.89216,0.94114,0.95405,0.98663,0.97147,0.1782,0.31626,0.24137,0.000839537,0.000839537,0.000839537
27,2079.2,0.04989,0.17194,0.88923,0.97381,0.94698,0.98293,0.97595,0.16372,0.25576,0.21184,0.000815959,0.000815959,0.000815959
28,2151.21,0.05226,0.17853,0.89042,0.96696,0.98806,0.99054,0.98914,0.19959,0.32012,0.22486,0.00079238,0.00079238,0.00079238
29,2223.18,0.04901,0.17403,0.88708,0.98251,0.97884,0.99264,0.99261,0.14369,0.27341,0.20806,0.000768802,0.000768802,0.000768802
